test-1,False,True
test-2,True,False
test-3,True,False
test-4,False,True
test-5,True,False
test-6,False,True
test-7,True,False
test-8,False,True
test-9,True,False
test-10,True,False
test-11,False,True
test-12,False,True
test-13,False,True
test-14,False,True
test-15,True,False
test-16,False,True
test-17,True,False
test-18,False,True
test-19,True,False
test-20,True,False
test-21,False,True
test-22,False,True
test-23,True,False
test-24,True,False
test-25,True,False
test-26,False,True
test-27,False,True
test-28,True,False
test-29,False,True
test-30,False,True
test-31,False,True
test-32,False,True
test-33,True,False
test-34,False,True
test-35,False,True
test-36,True,False
test-37,False,True
test-38,True,False
test-39,True,False
test-40,True,False
test-41,False,True
test-42,False,True
test-43,True,False
test-44,False,True
test-45,False,True
test-46,True,False
test-47,False,True
test-48,True,False
test-49,False,True
test-50,False,True
test-51,False,True
test-52,True,False
test-53,False,True
test-54,False,True
test-55,True,False
test-56,False,True
test-57,True,False
test-58,True,False
test-59,True,False
test-60,False,True
test-61,True,False
test-62,True,False
test-63,False,True
test-64,True,False
test-65,True,False
test-66,False,True
test-67,False,True
test-68,False,True
test-69,True,False
test-70,False,True
test-71,True,False
test-72,True,False
test-73,True,False
test-74,True,False
test-75,False,True
test-76,False,True
test-77,True,False
test-78,True,False
test-79,False,True
test-80,False,True
test-81,True,False
test-82,False,True
test-83,False,True
test-84,True,False
test-85,True,False
test-86,True,False
test-87,True,False
test-88,True,False
test-89,False,True
test-90,False,True
test-91,False,True
test-92,False,True
test-93,False,True
test-94,True,False
test-95,True,False
test-96,True,False
test-97,False,True
test-98,True,False
test-99,False,True
test-100,True,False
test-101,False,True
test-102,False,True
test-103,False,True
test-104,True,False
test-105,True,False
test-106,False,True
test-107,False,True
test-108,False,True
test-109,False,True
test-110,False,True
test-111,False,True
test-112,False,True
test-113,False,True
test-114,False,True
test-115,False,True
test-116,False,True
test-117,False,True
test-118,True,False
test-119,True,False
test-120,True,False
test-121,True,False
test-122,True,False
test-123,False,True
test-124,True,False
test-125,False,True
test-126,True,False
test-127,False,True
test-128,False,True
test-129,False,True
test-130,True,False
test-131,False,True
test-132,True,False
test-133,False,True
test-134,False,True
test-135,False,True
test-136,False,True
test-137,True,False
test-138,False,True
test-139,True,False
test-140,False,True
test-141,False,True
test-142,True,False
test-143,True,False
test-144,False,True
test-145,True,False
test-146,True,False
test-147,True,False
test-148,True,False
test-149,True,False
test-150,True,False
test-151,False,True
test-152,True,False
test-153,True,False
test-154,True,False
test-155,False,True
test-156,True,False
test-157,False,True
test-158,True,False
test-159,False,True
test-160,True,False
test-161,False,True
test-162,True,False
test-163,True,False
test-164,True,False
test-165,True,False
test-166,True,False
test-167,True,False
test-168,True,False
test-169,True,False
test-170,True,False
test-171,False,True
test-172,True,False
test-173,True,False
test-174,False,True
test-175,True,False
test-176,True,False
test-177,True,False
test-178,True,False
test-179,False,True
test-180,True,False
test-181,True,False
test-182,False,True
test-183,False,True
test-184,True,False
test-185,False,True
test-186,False,True
test-187,False,True
test-188,False,True
test-189,False,True
test-190,False,True
test-191,False,True
test-192,False,True
test-193,False,True
test-194,False,True
test-195,False,True
test-196,False,True
test-197,True,False
test-198,False,True
test-199,True,False
test-200,True,False
test-201,True,False
test-202,True,False
test-203,False,True
test-204,False,True
test-205,True,False
test-206,True,False
test-207,True,False
test-208,True,False
test-209,False,True
test-210,True,False
test-211,True,False
test-212,True,False
test-213,False,True
test-214,False,True
test-215,True,False
test-216,True,False
